Iteration 58, time = 165s, loss_lab = 0.0618, loss_unl = 0.6198, train err = 0.0092, test err = 0.3607
Iteration 59, time = 165s, loss_lab = 0.0612, loss_unl = 0.6197, train err = 0.0086, test err = 0.3599
Iteration 60, time = 165s, loss_lab = 0.0605, loss_unl = 0.6108, train err = 0.0092, test err = 0.3588
Iteration 61, time = 165s, loss_lab = 0.0580, loss_unl = 0.6102, train err = 0.0090, test err = 0.3598
Iteration 62, time = 166s, loss_lab = 0.0585, loss_unl = 0.6102, train err = 0.0087, test err = 0.3588
Iteration 63, time = 164s, loss_lab = 0.0576, loss_unl = 0.6073, train err = 0.0082, test err = 0.3591
Iteration 64, time = 165s, loss_lab = 0.0574, loss_unl = 0.6055, train err = 0.0082, test err = 0.3608
Iteration 65, time = 164s, loss_lab = 0.0574, loss_unl = 0.6050, train err = 0.0084, test err = 0.3603
Iteration 66, time = 165s, loss_lab = 0.0566, loss_unl = 0.5961, train err = 0.0088, test err = 0.3589
Iteration 67, time = 165s, loss_lab = 0.0557, loss_unl = 0.5982, train err = 0.0086, test err = 0.3588
Iteration 68, time = 165s, loss_lab = 0.0534, loss_unl = 0.5947, train err = 0.0082, test err = 0.3585
Iteration 69, time = 165s, loss_lab = 0.0529, loss_unl = 0.5952, train err = 0.0077, test err = 0.3592
Iteration 70, time = 165s, loss_lab = 0.0536, loss_unl = 0.5992, train err = 0.0073, test err = 0.3579
Iteration 71, time = 165s, loss_lab = 0.0520, loss_unl = 0.5895, train err = 0.0072, test err = 0.3582
Iteration 72, time = 165s, loss_lab = 0.0535, loss_unl = 0.5918, train err = 0.0078, test err = 0.3578
Iteration 73, time = 165s, loss_lab = 0.0524, loss_unl = 0.5904, train err = 0.0076, test err = 0.3576
Iteration 74, time = 165s, loss_lab = 0.0514, loss_unl = 0.5830, train err = 0.0077, test err = 0.3577
Iteration 75, time = 165s, loss_lab = 0.0523, loss_unl = 0.5836, train err = 0.0079, test err = 0.3584
Iteration 76, time = 165s, loss_lab = 0.0522, loss_unl = 0.5798, train err = 0.0076, test err = 0.3582
Iteration 77, time = 165s, loss_lab = 0.0509, loss_unl = 0.5823, train err = 0.0076, test err = 0.3573
Iteration 78, time = 165s, loss_lab = 0.0505, loss_unl = 0.5807, train err = 0.0076, test err = 0.3578
Iteration 79, time = 165s, loss_lab = 0.0491, loss_unl = 0.5755, train err = 0.0069, test err = 0.3586
Iteration 80, time = 165s, loss_lab = 0.0483, loss_unl = 0.5735, train err = 0.0069, test err = 0.3596
Iteration 81, time = 165s, loss_lab = 0.0492, loss_unl = 0.5722, train err = 0.0070, test err = 0.3596
Iteration 82, time = 165s, loss_lab = 0.0481, loss_unl = 0.5756, train err = 0.0063, test err = 0.3619
Iteration 83, time = 165s, loss_lab = 0.0468, loss_unl = 0.5752, train err = 0.0065, test err = 0.3630
Iteration 84, time = 165s, loss_lab = 0.0486, loss_unl = 0.5746, train err = 0.0073, test err = 0.3620
Iteration 85, time = 165s, loss_lab = 0.0464, loss_unl = 0.5669, train err = 0.0067, test err = 0.3621
Iteration 86, time = 165s, loss_lab = 0.0456, loss_unl = 0.5647, train err = 0.0063, test err = 0.3631
Iteration 87, time = 165s, loss_lab = 0.0472, loss_unl = 0.5639, train err = 0.0070, test err = 0.3645
Iteration 88, time = 165s, loss_lab = 0.0451, loss_unl = 0.5623, train err = 0.0058, test err = 0.3667
Iteration 89, time = 165s, loss_lab = 0.0447, loss_unl = 0.5617, train err = 0.0064, test err = 0.3668
Iteration 90, time = 165s, loss_lab = 0.0455, loss_unl = 0.5594, train err = 0.0065, test err = 0.3671
Iteration 91, time = 165s, loss_lab = 0.0431, loss_unl = 0.5615, train err = 0.0056, test err = 0.3669
Iteration 92, time = 165s, loss_lab = 0.0448, loss_unl = 0.5578, train err = 0.0064, test err = 0.3665
